Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,38.169998,41.340000,37.380001,40.580002,37.610043,211507400
2018-02-01,45.500000,46.990002,40.430000,42.860001,39.723171,252196500
2018-03-01,43.009998,44.299999,39.590000,40.240002,37.294933,199402700
2018-04-01,40.040001,43.000000,37.650002,37.880001,35.107647,227985700
2018-05-01,37.750000,38.840000,36.810001,37.720001,34.959362,176953500
2018-06-01,38.060001,40.860001,35.560001,36.259998,33.606220,201723000
2018-07-01,35.910000,38.340000,33.330002,33.450001,31.001865,247300500
2018-08-01,33.349998,35.290001,32.849998,34.610001,32.076977,179819500
2018-09-01,34.400002,34.910000,32.599998,33.020000,30.603340,190865900
2018-10-01,33.099998,34.599998,26.360001,29.030001,26.905359,340803700
2018-11-01,29.080000,30.260000,27.549999,29.850000,27.665344,280472300
2018-12-01,30.170000,30.360001,26.010000,28.070000,26.015617,269751400
2019-01-01,27.650000,34.750000,27.559999,33.650002,31.187235,343616600
2019-02-01,33.750000,38.020000,33.630001,37.150002,34.431061,210230900
2019-03-01,38.360001,39.139999,35.509998,37.139999,34.550522,252316300
2019-04-01,37.410000,38.799999,35.439999,38.750000,36.048267,211327400
2019-05-01,38.779999,38.939999,35.590000,35.930000,33.424889,176656800
2019-06-01,35.849998,40.549999,35.450001,39.500000,36.889046,194738300
2019-07-01,39.970001,42.000000,38.930000,41.189999,38.467319,176576500
2019-08-01,41.360001,41.990002,38.540001,40.290001,37.626820,147930100
2019-09-01,40.049999,41.410000,38.099998,38.980000,36.529579,138279000
2019-10-01,38.990002,39.470001,35.130001,35.250000,33.034073,161549600
2019-11-01,35.500000,36.529999,34.520000,35.520000,33.287098,148552500
2019-12-01,35.450001,36.520000,34.459999,36.110001,33.972675,163581500
2020-01-01,36.410000,36.500000,33.529999,33.560001,31.573612,199703900
2020-02-01,33.750000,39.250000,33.709999,34.639999,32.589687,308100100
2020-03-01,34.619999,38.540001,26.020000,30.059999,28.410498,368561100
2020-04-01,29.340000,40.360001,28.299999,39.830002,37.644386,284348100
2020-05-01,38.779999,45.650002,38.340000,45.540001,43.041061,227158100
2020-06-01,45.400002,52.750000,45.009998,52.450001,49.751858,289891300
2020-07-01,52.709999,61.060001,51.320000,55.279999,52.436272,227999000
2020-08-01,55.689999,59.060001,53.570000,54.779999,51.961998,156439000
2020-09-01,54.950001,55.419998,47.439999,52.099998,49.565983,187526100
2020-10-01,52.369999,58.340000,46.990002,47.630001,45.313400,173414500
2020-11-01,48.189999,51.930000,45.360001,50.430000,47.977219,222724800
2020-12-01,50.500000,54.889999,48.669998,50.250000,47.955421,144344400
2021-01-01,50.480000,60.549999,50.450001,56.509998,53.929569,158805000
2021-02-01,56.830002,64.849998,56.250000,56.419998,53.843678,154605100
2021-03-01,57.099998,62.669998,51.509998,61.240002,58.628796,166531800
2021-04-01,61.400002,65.110001,54.950001,55.790001,53.411167,147884100
2021-05-01,56.169998,62.689999,56.119999,60.880001,58.284138,181256400
2021-06-01,61.520000,70.660004,60.730000,70.209999,67.420242,147457500
2021-07-01,70.209999,74.129997,67.279999,68.209999,65.499710,134053200
2021-08-01,68.809998,77.830002,65.070000,76.739998,73.690781,170414900
2021-09-01,77.059998,77.220001,69.620003,69.669998,67.057358,122836300
2021-10-01,69.699997,81.190002,68.279999,76.720001,73.842957,131691300
2021-11-01,76.470001,77.610001,66.889999,67.459999,64.930222,152424500
2021-12-01,68.639999,68.650002,62.820000,66.500000,64.169952,170205400
2022-01-01,66.449997,67.489998,55.910000,60.070000,57.965240,132032100
2022-02-01,59.910000,60.660000,49.529999,54.590000,52.677254,140357100
2022-03-01,54.560001,60.389999,50.000000,57.259998,55.253704,191720100
2022-04-01,57.869999,58.369999,51.520000,51.919998,50.308418,100862000
2022-05-01,51.970001,54.490002,43.279999,48.669998,47.159302,185445000
2022-06-01,49.080002,49.080002,40.520000,41.669998,40.559341,162136800
2022-07-01,41.939999,49.730000,41.220001,48.630001,47.333843,97879700
2022-08-01,47.849998,50.820000,43.900002,44.130001,42.953781,114995100
2022-09-01,43.990002,45.849998,36.759998,36.810001,36.007095,121274400
2022-10-01,36.939999,40.630001,35.919998,39.840000,38.971008,133932100
2022-11-01,40.520000,47.130001,38.009998,45.439999,44.448860,128469100
2022-12-01,45.360001,46.090000,39.480000,41.470001,40.770378,112023200
