Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,46.380001,50.849998,42.439999,48.139999,41.089252,910041000
2018-02-01,47.700001,50.900002,42.040001,49.290001,42.070824,608494100
2018-03-01,49.500000,53.779999,46.959999,52.080002,44.753761,710899300
2018-04-01,51.689999,55.790001,47.290001,51.619999,44.358459,666315000
2018-05-01,51.639999,56.200001,51.000000,55.200001,47.434872,486323900
2018-06-01,55.840000,57.599998,48.500000,49.709999,42.963699,638342400
2018-07-01,49.040001,53.299999,46.430000,48.099998,41.572193,479303100
2018-08-01,48.060001,50.599998,46.189999,48.430000,41.857410,516977100
2018-09-01,48.380001,48.430000,44.060001,47.290001,41.120686,462762400
2018-10-01,46.790001,49.720001,42.360001,46.880001,40.764175,782226900
2018-11-01,46.950001,49.320000,46.520000,49.310001,42.877159,552786700
2018-12-01,50.000000,50.500000,43.509998,46.930000,41.064465,565278100
2019-01-01,45.959999,50.040001,44.389999,47.119999,41.230709,620374700
2019-02-01,47.060001,53.610001,47.009998,52.959999,46.340805,410236000
2019-03-01,53.439999,54.990002,51.700001,53.700001,47.286163,435022900
2019-04-01,54.340000,59.590000,50.869999,51.040001,44.943867,472425200
2019-05-01,51.099998,51.820000,42.860001,44.040001,38.779926,637861500
2019-06-01,44.250000,48.480000,43.200001,47.869999,42.410629,416046000
2019-07-01,49.290001,53.500000,47.070000,50.549999,44.784988,431034400
2019-08-01,50.520000,51.889999,44.799999,47.410000,42.003098,531370100
2019-09-01,47.119999,53.330002,46.500000,51.529999,45.961468,387955800
2019-10-01,51.970001,57.240002,48.529999,56.529999,50.421143,438267300
2019-11-01,55.939999,59.130001,55.619999,58.049999,51.776875,319751400
2019-12-01,58.549999,60.480000,55.750000,59.849998,53.676163,419629000
2020-01-01,60.240002,69.290001,58.520000,63.930000,57.335289,534150100
2020-02-01,64.459999,68.089996,53.599998,55.520000,49.792820,441506700
2020-03-01,55.790001,59.020000,43.630001,54.119999,48.776272,961035400
2020-04-01,52.500000,62.130001,51.220001,59.980000,54.057674,617557900
2020-05-01,58.830002,64.139999,56.099998,62.930000,56.716385,409253500
2020-06-01,62.490002,65.110001,56.759998,59.830002,54.227077,570572500
2020-07-01,59.910000,61.930000,46.970001,47.730000,43.260208,808654500
2020-08-01,48.270000,51.500000,47.700001,50.950001,46.178665,667321500
2020-09-01,50.910000,52.680000,48.419998,51.779999,47.249657,680429800
2020-10-01,52.400002,56.230000,43.610001,44.279999,40.405853,738437500
2020-11-01,44.959999,48.500000,44.240002,48.349998,44.119762,676942800
2020-12-01,48.750000,52.650002,45.240002,49.820000,45.791813,883810300
2021-01-01,49.889999,63.950001,49.330002,55.509998,51.021751,962555600
2021-02-01,55.950001,63.540001,55.709999,60.779999,55.865643,511339300
2021-03-01,61.720001,67.440002,57.910000,64.000000,59.182358,770803800
2021-04-01,64.720001,68.489998,57.070000,57.529999,53.199390,654934800
2021-05-01,57.860001,58.009998,53.419998,57.119999,52.820251,495384200
2021-06-01,57.610001,58.419998,55.099998,56.139999,52.233772,511873100
2021-07-01,56.130001,57.459999,52.310001,53.720001,49.982155,516953700
2021-08-01,53.990002,54.869999,51.419998,54.060001,50.298500,402375000
2021-09-01,54.110001,55.490002,52.320000,53.279999,49.894909,413346700
2021-10-01,53.650002,56.070000,47.869999,49.000000,45.886833,672042200
2021-11-01,49.400002,51.990002,48.119999,49.200001,46.074127,617076700
2021-12-01,49.840000,55.000000,48.330002,51.500000,48.563385,714651800
2022-01-01,51.650002,56.279999,46.299999,48.820000,46.036201,890542800
2022-02-01,48.779999,49.970001,43.630001,47.700001,44.980064,756814900
2022-03-01,47.540001,52.509998,44.070000,49.560001,47.090008,849288700
2022-04-01,49.830002,49.900002,43.500000,43.590000,41.417549,639472500
2022-05-01,43.720001,46.639999,40.310001,44.419998,42.206177,773236800
2022-06-01,44.770000,44.930000,36.599998,37.410000,35.826523,783353000
2022-07-01,37.090000,40.730000,35.240002,36.310001,34.773087,792918100
2022-08-01,36.049999,37.689999,31.770000,31.920000,30.568901,899717100
2022-09-01,31.570000,32.380001,25.740000,25.770000,24.928364,889075300
2022-10-01,26.330000,29.219999,24.590000,28.430000,27.501490,981043600
2022-11-01,28.799999,31.340000,27.170000,30.070000,29.087929,788916300
2022-12-01,30.240000,30.480000,25.350000,26.430000,25.912115,758549700
