Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,47.570000,52.790001,46.169998,51.590000,46.779999,348599900
2018-02-01,51.360001,51.980000,45.919998,50.669998,46.124699,290684300
2018-03-01,50.959999,53.480000,44.509998,45.750000,41.646049,435423200
2018-04-01,45.650002,47.290001,44.040001,45.669998,41.573212,286580100
2018-05-01,45.389999,47.540001,44.490002,46.720001,42.705120,253549200
2018-06-01,47.080002,48.669998,42.570000,44.060001,40.273705,468930400
2018-07-01,43.959999,49.169998,43.770000,47.680000,43.582607,424287700
2018-08-01,47.910000,49.700001,46.630001,48.580002,44.579449,310534600
2018-09-01,48.360001,52.110001,47.330002,51.560001,47.314053,423450600
2018-10-01,51.220001,51.990002,46.340000,48.840000,44.818039,444353400
2018-11-01,48.959999,51.450001,46.790001,48.759998,44.924786,371551400
2018-12-01,49.439999,50.220001,42.400002,45.150002,41.598724,539063900
2019-01-01,44.480000,50.500000,44.410000,50.230000,46.279163,324808100
2019-02-01,50.520000,53.029999,49.820000,52.130001,48.219872,257843100
2019-03-01,52.500000,54.380001,51.000000,53.709999,49.681358,370697000
2019-04-01,53.880001,55.529999,53.330002,55.330002,51.179836,193506500
2019-05-01,55.320000,55.419998,50.509998,50.599998,47.014240,240092700
2019-06-01,50.560001,57.470001,49.889999,56.970001,52.932831,417219900
2019-07-01,57.150002,60.500000,55.619999,56.299999,52.310307,251453400
2019-08-01,56.299999,56.849998,51.250000,52.060001,48.566578,225539800
2019-09-01,51.939999,56.290001,51.549999,55.029999,51.337276,333772600
2019-10-01,55.040001,57.330002,52.680000,54.490002,50.833523,250748900
2019-11-01,54.810001,57.060001,54.549999,56.139999,52.606392,157205300
2019-12-01,56.230000,56.660000,52.549999,52.980000,49.645287,263181500
2020-01-01,53.270000,55.689999,52.279999,52.450001,49.148647,201231600
2020-02-01,52.730000,55.889999,47.900002,49.459999,46.553146,193548200
2020-03-01,49.730000,51.840000,39.709999,48.330002,45.489559,500026300
2020-04-01,46.549999,54.720001,46.040001,52.970001,49.856846,261549600
2020-05-01,52.380001,54.150002,50.860001,53.770000,50.850250,213866500
2020-06-01,53.279999,55.970001,50.910000,55.270000,52.268803,336706700
2020-07-01,54.689999,57.840000,54.330002,55.450001,52.439030,274222800
2020-08-01,55.779999,58.450001,53.660000,57.220001,54.341690,217958300
2020-09-01,57.369999,62.599998,54.869999,59.700001,56.696934,426654300
2020-10-01,60.169998,61.830002,55.139999,56.110001,53.287518,209801500
2020-11-01,56.439999,59.080002,55.560001,57.720001,55.038498,187060500
2020-12-01,58.200001,66.199997,58.009998,64.690002,61.684696,291078500
2021-01-01,64.690002,64.699997,59.740002,60.430000,57.622604,173094700
2021-02-01,60.919998,66.360001,60.740002,64.510002,61.748447,203018100
2021-03-01,64.949997,73.620003,64.769997,70.169998,67.166153,385408900
2021-04-01,70.459999,80.209999,70.330002,75.790001,72.545570,274747400
2021-05-01,76.279999,80.720001,76.080002,78.739998,75.695366,219875100
2021-06-01,79.580002,85.029999,75.900002,77.839996,74.830177,276738400
2021-07-01,77.980003,91.199997,77.910004,87.139999,83.770576,278074100
2021-08-01,87.730003,91.779999,87.089996,89.129997,85.999702,154883000
2021-09-01,89.260002,92.269997,84.730003,87.129997,84.069923,299389900
2021-10-01,87.760002,98.949997,87.599998,95.940002,92.570526,177718200
2021-11-01,96.000000,96.959999,90.610001,90.739998,87.857719,156023500
2021-12-01,91.690002,106.339996,87.180000,87.209999,84.439850,270947200
2022-01-01,87.330002,89.580002,78.570000,81.160004,78.582039,200574800
2022-02-01,81.400002,83.779999,70.230003,75.970001,73.830132,144701700
2022-03-01,75.980003,84.510002,73.110001,82.730003,80.399734,243936600
2022-04-01,83.040001,84.519997,73.150002,73.400002,71.332527,131271700
2022-05-01,73.930000,75.349998,66.720001,71.919998,70.167641,162438900
2022-06-01,73.019997,74.839996,63.759998,69.870003,68.167580,219800300
2022-07-01,69.849998,78.160004,68.230003,77.839996,75.943390,126241100
2022-08-01,77.180000,79.879997,73.459999,74.150002,72.666847,117160200
2022-09-01,74.120003,79.410004,60.779999,61.070000,59.848473,232945300
2022-10-01,60.990002,78.330002,60.810001,78.070000,76.508438,200166600
2022-11-01,78.599998,83.489998,74.050003,83.029999,81.787506,143312700
2022-12-01,83.050003,85.580002,78.059998,81.739998,80.516815,172460600
